step|id|lat|lon|g|h|name
197|330421702|41.3433578|2.1067377|10.2280451|823.0551347|
198|760335893|41.3413150|2.1040060|10.5499194|822.7445427|
199|208606457|41.3389244|2.1007920|10.9276208|822.3798216|
200|242934134|41.3378881|2.0993506|11.0942332|822.2182244|
201|178534456|41.3361758|2.0970496|11.3647099|821.9570649|
202|442084611|41.3358738|2.0964794|11.4229683|821.8990786|
203|178534454|41.3356690|2.0960809|11.4632866|821.8588976|
204|242934159|41.3354407|2.0956218|11.5092615|821.8130268|
205|178534453|41.3351120|2.0947807|11.5884284|821.7339164|
206|528703075|41.3346034|2.0932996|11.7244069|821.5984731|
207|178534452|41.3336807|2.0905545|11.9755200|821.3485366|
208|178534451|41.3322371|2.0864394|12.3547560|820.9705365|
209|213383268|41.3319004|2.0854941|12.4421139|820.8834239|
210|213381051|41.3316001|2.0846638|12.5190634|820.8066576|
211|213381050|41.3312972|2.0839858|12.5849357|820.7407969|
212|213361229|41.3310716|2.0834193|12.6384770|820.6872802|
213|213361228|41.3308847|2.0827498|12.6981164|820.6284214|
214|213361227|41.3307816|2.0821490|12.7495748|820.5791600|
215|213361226|41.3307365|2.0815997|12.7957133|820.5368281|
216|213361225|41.3307429|2.0811019|12.8372843|820.5010682|
217|213361224|41.3308009|2.0805010|12.8878707|820.4606711|
218|213361222|41.3311038|2.0779776|13.1012423|820.2943121|
219|213361221|41.3312779|2.0765958|13.2182311|820.2036796|
220|213378846|41.3316259|2.0742182|13.4204884|820.0504205|
221|213378847|41.3317355|2.0733857|13.4910592|819.9960888|
222|213378849|41.3319675|2.0716433|13.6388120|819.8825276|
223|213378850|41.3322833|2.0693001|13.8375853|819.7300398|
224|213378851|41.3324509|2.0680899|13.9403355|819.6515414|
225|213378853|41.3326442|2.0665965|14.0668660|819.5539366|
226|213378854|41.3326700|2.0661845|14.1013853|819.5254923|
227|213378855|41.3326700|2.0654463|14.1630212|819.4719783|
228|213378857|41.3326700|2.0641246|14.2733764|819.3761683|
229|213378858|41.3326635|2.0631375|14.3557974|819.3042576|
230|213378859|41.3326829|2.0622363|14.4310739|819.2400052|
231|213378860|41.3327280|2.0616269|14.4822022|819.1983237|
232|213378861|41.3328375|2.0608458|14.5485468|819.1477538|
233|213378862|41.3330051|2.0600562|14.6170576|819.0997782|
234|213378863|41.3332049|2.0593352|14.6812258|819.0585557|
235|213378864|41.3334176|2.0586400|14.7439044|819.0199188|
236|213378865|41.3337012|2.0577388|14.8254899|818.9702732|
237|213378866|41.3338301|2.0572152|14.8714967|818.9394502|
238|213378868|41.3339631|2.0566208|14.9232818|818.9037252|
239|213378869|41.3341652|2.0551810|15.0455776|818.8105642|
240|675428477|41.3343035|2.0541465|15.1333093|818.7432517|
241|213378870|41.3344616|2.0529494|15.2347927|818.6652579|
242|213355922|41.3345068|2.0525803|15.2660170|818.6410154|
243|213355923|41.3345648|2.0524602|15.2779394|818.6355202|
244|213355924|41.3346742|2.0523740|15.2920737|818.6353222|
245|213354242|41.3345582|2.0524035|15.3052054|818.6310477|
246|213354240|41.3344287|2.0523501|15.3202795|818.6200213|
247|213354238|41.3343480|2.0522436|15.3329124|818.6078452|
248|516243675|41.3343248|2.0521838|15.3385323|818.6022306|
249|213354237|41.3343064|2.0520651|15.3486519|818.5926140|
250|213354235|41.3343327|2.0519023|15.3625556|818.5822733|
251|513651472|41.3339611|2.0516905|15.4075007|818.5463899|
252|513651475|41.3336131|2.0514845|15.4498468|818.5122318|
253|513651477|41.3332779|2.0512442|15.4921764|818.4762967|
254|513651479|41.3329815|2.0510382|15.5293526|818.4449913|
255|513651482|41.3326463|2.0508064|15.5713505|818.4096728|
256|513651485|41.3322725|2.0504975|15.6202671|818.3666356|
257|513651487|41.3320276|2.0502743|15.6532651|818.3369308|
258|1383170730|41.3317202|2.0499476|15.6969968|818.2962734|
259|513651490|41.3314218|2.0496306|15.7394411|818.2568163|
260|513651493|41.3311124|2.0492872|15.7842267|818.2148387|
261|1383170739|41.3310553|2.0491977|15.7940327|818.2051986|
262|513651363|41.3307734|2.0487564|15.8424092|818.1576466|
263|516243556|41.3308248|2.0486774|15.8511371|818.1547622|
264|513651364|41.3308517|2.0485965|15.8585247|818.1503866|
265|516243559|41.3308609|2.0484916|15.8673431|818.1432939|
266|1383170740|41.3308419|2.0483800|15.8768979|818.1341577|
267|513651366|41.3308273|2.0483416|15.8804917|818.1305685|
268|1512706064|41.3316463|2.0472392|16.0099758|818.0959543|
269|1128828459|41.3306463|2.0450394|16.2246880|817.8813047|
270|1128828456|41.3302259|2.0444071|16.2952046|817.8122572|
271|1207693937|41.3293956|2.0432563|16.4284610|817.6829872|
272|728705279|41.3290416|2.0427656|16.4852786|817.6278687|
273|1134269198|41.3252200|2.0376881|17.0855588|817.0487664|
274|885325448|41.3229648|2.0346918|17.4398022|816.7070290|
275|885325394|41.3239239|2.0334929|17.5860789|816.6731454|
276|243497489|41.3246813|2.0325617|17.7007066|816.6475354|
277|243497274|41.3245749|2.0324045|17.7183785|816.6302638|
278|243497488|41.3245628|2.0323114|17.7262684|816.6228493|
279|243497487|41.3245791|2.0322037|17.7354428|816.6159470|
280|243497486|41.3246154|2.0321270|17.7430134|816.6123965|
281|243497468|41.3246594|2.0320770|17.7494453|816.6112062|
282|1345686456|41.3241890|2.0314413|17.8239697|816.5391426|
283|728705287|41.3230573|2.0299119|18.0032645|816.3657688|
284|728705281|41.3223306|2.0289690|18.1160891|816.2572786|
285|1191312169|41.3213750|2.0276910|18.2666905|816.1118549|
286|1128828470|41.3210840|2.0273015|18.3125711|816.0675469|
287|211325472|41.3209644|2.0271415|18.3314230|816.0493425|
288|211323333|41.3202940|2.0262746|18.4353365|815.9494714|
289|211323467|41.3201328|2.0260171|18.4633314|815.9219025|
290|211321254|41.3200941|2.0258197|18.4803689|815.9054590|
291|211321900|41.3200604|2.0256853|18.4922018|815.8938572|
292|1109639608|41.3200121|2.0256424|18.4986578|815.8880790|
293|211321256|41.3199394|2.0256137|18.5070895|815.8819813|
294|211323072|41.3197976|2.0255622|18.5234330|815.8704125|
295|211320732|41.3195849|2.0253648|18.5522624|815.8443527|
296|409153751|41.3190897|2.0246892|18.6310997|815.7680269|
297|1131425396|41.3184148|2.0237684|18.7385483|815.6640010|
298|211320731|41.3179999|2.0232023|18.8046053|815.6000480|
299|211320730|41.3175879|2.0227236|18.8654084|815.5425893|
300|211319000|41.3171143|2.0222306|18.9322550|815.4806906|
301|1243858628|41.3171401|2.0221833|18.9371371|815.4786882|
302|1130841547|41.3171466|2.0221457|18.9403593|815.4763224|
303|211319001|41.3171528|2.0221102|18.9434032|815.4740922|
304|1130841546|41.3171453|2.0220527|18.9482772|815.4695106|
305|211319002|41.3171298|2.0220130|18.9520139|815.4657769|
306|1243858642|41.3170988|2.0219718|18.9568844|815.4610780|
307|1243858636|41.3170590|2.0219472|18.9617636|815.4570960|
308|211318992|41.3170143|2.0219423|18.9667508|815.4542709|
309|1243858624|41.3169721|2.0219580|18.9716230|815.4530769|
310|211318993|41.3169258|2.0220082|18.9782624|815.4541568|
311|607644344|41.3165900|2.0216452|19.0263590|815.4092942|
312|1134264293|41.3158088|2.0208817|19.1341157|815.3107963|
313|211317747|41.3156461|2.0207214|19.1566220|815.2901892|
314|243494580|41.3155782|2.0206469|19.1664055|815.2810382|
315|211317745|41.3155414|2.0206087|19.1715942|815.2762364|
316|1187722456|41.3143258|2.0193541|19.3426195|815.1181469|
317|1187722485|41.3147991|2.0188152|19.4118688|815.1052347|
318|1512110649|41.3145172|2.0182853|19.4661014|815.0512532|
319|1187722495|41.3142511|2.0177852|19.5172877|815.0003044|
320|1187722477|41.3140022|2.0177952|19.5449767|814.9872780|
321|1129276619|41.3131939|2.0167160|19.6722652|814.8644006|
322|1119033360|41.3125851|2.0159323|19.7664300|814.7739632|
323|1243851866|41.3126060|2.0158923|19.7704996|814.7722184|
324|1084139077|41.3126134|2.0158636|19.7730340|814.7705469|
325|1243851745|41.3126155|2.0158141|19.7771748|814.7670749|
326|1243851892|41.3126048|2.0157658|19.7813807|814.7629829|
327|1084139081|41.3125850|2.0157272|19.7852846|814.7590912|
328|1243851808|41.3125521|2.0156981|19.7896767|814.7551644|
329|1243851893|41.3125138|2.0156854|19.7940656|814.7521280|
330|1084139085|41.3124872|2.0156875|19.7970285|814.7508108|
331|1243851756|41.3124500|2.0157064|19.8014560|814.7501258|
332|1084139051|41.3124120|2.0157584|19.8075154|814.7517958|
333|1094296578|41.3117943|2.0149928|19.9013581|814.6621790|
334|1243851897|41.3118171|2.0149596|19.9051153|814.6610319|
335|1094296566|41.3118328|2.0149026|19.9101860|814.6577674|
336|1243851822|41.3118314|2.0148566|19.9140312|814.6543557|
337|1094296559|41.3118248|2.0148295|19.9164106|814.6520267|
338|1243851726|41.3118047|2.0147899|19.9204024|814.6480459|
339|1094296550|41.3117883|2.0147716|19.9227819|814.6458135|
340|1243851813|41.3117544|2.0147518|19.9268982|814.6425056|
341|1116354093|41.3117276|2.0147483|19.9298925|814.6407715|
342|1243851853|41.3116906|2.0147592|19.9341062|814.6395178|
343|1243851743|41.3116589|2.0147873|19.9383410|814.6398036|
344|1383136506|41.3116451|2.0148118|19.9408987|814.6408173|
345|1091842279|41.3113620|2.0144794|19.9828715|814.6010847|
346|1096513772|41.3108512|2.0138393|20.0608735|814.5264702|
347|1177157024|41.3105138|2.0134165|20.1123962|814.4771855|
348|1096507245|41.3101212|2.0129245|20.1723500|814.4198355|
349|246182757|41.3092965|2.0117169|20.3086690|814.2867448|
350|246182758|41.3093113|2.0115965|20.3188592|814.2788340|
351|1243851910|41.3092943|2.0115098|20.3263434|814.2716099|
352|246182759|41.3092640|2.0114478|20.3325215|814.2654419|
353|246182760|41.3092192|2.0113981|20.3390060|814.2593646|
354|1243851887|41.3091511|2.0113648|20.3470730|814.2531894|
355|246182620|41.3090784|2.0113677|20.3551605|814.2493844|
356|246182749|41.3089942|2.0114247|20.3656641|814.2488663|
357|246812005|41.3088328|2.0112581|20.3883737|814.2278750|
358|1107469792|41.3086551|2.0110468|20.4148674|814.2027429|
359|1107469790|41.3080995|2.0103862|20.4977003|814.1241687|
360|246812004|41.3079882|2.0102539|20.5142918|814.1084308|
361|246812003|41.3067825|2.0086832|20.7018728|813.9279760|
362|246811978|41.3064795|2.0083141|20.7475419|813.8844846|
363|246811887|41.3064602|2.0079021|20.7820225|813.8535484|
364|246811888|41.3065053|2.0076618|20.8027114|813.8386171|
365|246811889|41.3065827|2.0074644|20.8213109|813.8285800|
366|246811890|41.3069631|2.0068979|20.8847792|813.8085193|
367|246811891|41.3073950|2.0063744|20.9497286|813.7944257|
368|246811892|41.3082396|2.0056534|21.0612941|813.7888239|
369|246811462|41.3082832|2.0055883|21.0685791|813.7865143|
370|1243851807|41.3082719|2.0055750|21.0702562|813.7849259|
371|246811461|41.3082604|2.0055507|21.0726552|813.7825291|
372|1243851747|41.3082554|2.0055149|21.0756966|813.7796579|
